17AA3744	IdeaCentre AIO 3 24ALC6
17AA3746	IdeaCentre AIO 3 27ALC6
17AA3749	IdeaCentre AIO 3 24ITL6
17AA374B	IdeaCentre AIO 3 27ITL6
17AA3758	IdeaCentre AIO 3 22IAP7
17AA375A	IdeaCentre AIO 3 24IAP7
17AA3767	IdeaCentre AIO 5 27IAH7
17AA3801	Yoga9 14IAP7
17AA383A	Yoga 6 13ALC6
17AA383B	Yoga Slim 7 Carbon 14ACN6
17AA383E	Legion S7 15ACH6
17AA3841	Yoga Slim 7 Pro 14ACH5
17AA384F	IdeaPad Slim 3 (AMD)
17AA3853	Yoga 7 15ITL5
17AA3857	Yoga 7 14ARB7
17AA385A	Legion 7 16ARHA7
17AA385B	IdeaPad 5 15ABA7
17AA3863	ThinkBook 14s Yoga G3 IRU
17AA3864	Yoga 6 13ABR8
17AA3865	13X
17AA3866	13X
17AA3867	IdeaPad 5 2-in-1 (Raptor Lake)
17AA3869	Yoga7 14IAL7
17AA386A	Yoga 7 16IAP7
17AA386B	Yoga C940-15
17AA386C	V130-15IKB
17AA3870	Yoga 7 14ARB7
17AA3871	Yoga 14sITL
17AA3873	Legion Pro 5 (AMD)
17AA3875	Legion 9 16I
17AA3885	ThinkBook 15p 20V3
17AA3886	V14/V15 G4 ABP
17AA3889	ThinkBook 16 G6 ABP
17AA388A	Legion 7 15ASH11
17AA388E	Legion S7 16IAH7
17AA3891	ThinkBook Plus G3 IA
17AA3892	IdeaPad Slim 5 16AHP
17AA3893	Slim 7 16IAH7
17AA3894	Flex 7 14IAU7
17AA3895	Legion Slim 5 16AHP9
17AA3896	ThinkBook 16 G6+ AHP
17AA3897	Yoga Slim 7 Pro 14IAH7
17AA38AD	IdeaPad Slim 5 14AHP
17AA38B0	Yoga Pro 7 14ASP10
17AA38B3	ThinkBook 14 G7+ ASP
17AA38B4	Yoga Slim 7 14AKP10
17AA38B5	Yoga 7 2-in-1 14AKP10
17AA38B6	IdeaPad Slim (Alder Lake)
17AA38BB	Yoga S780-14.5 Air
17AA38BE	待查型号
17AA38BF	Yoga S980-14.5 proX
17AA3968	IdeaPad Z360
17AA3969	IdeaPad Z565
17AA396D	IdeaPad Z560/G560
17AA3970	IdeaPad Z585
17AA3978	B50-70
17AA397F	IdeaPad Z470
17AA3981	IdeaPad Y570
17AA3985	IdeaPad Flex / Yoga 2 11
17AA3988	IdeaPad Z50-75
17AA39FC	Legion Y730
17AA3A0D	Y530
